badhaai ho,badhaai-ho,ET00068588,85,72134,3.4,4.4,2018-10-26 15:45:00,"['Comedy', 'Drama']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/badhaai-ho/ET00068588
andhadhun,andhadhun,ET00077959,86,132129,3.8,4.4,2018-10-26 15:45:00,"['Crime-Thriller', 'Thriller']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/andhadhun/ET00077959
baazaar,baazaar,ET00055106,71,449,2.2,4.3,2018-10-26 15:45:00,"['Crime-Thriller', 'Drama', 'Thriller']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/baazaar/ET00055106
qismat,qismat,ET00071703,87,17493,3.0,4.6,2018-10-26 15:45:00,"['Drama', 'Romance']",Punjabi,https://in.bookmyshow.com/national-capital-region-ncr/movies/qismat/ET00071703
sui dhaaga made in india,sui-dhaaga-made-in-india,ET00061982,77,83277,3.2,4.0,2018-10-26 15:45:00,"['Comedy', 'Drama', 'Romance Comedy']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/sui-dhaaga-made-in-india/ET00061982
incredibles 2,incredibles-2,ET00046526,87,111848,3.7,4.5,2018-10-26 15:45:00,"['Action', 'Animation']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/incredibles-2/ET00046526
tumbbad,tumbbad,ET00079092,82,22484,3.3,4.3,2018-10-26 15:45:00,"['Fantasy', 'Horror', 'Period']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/tumbbad/ET00079092
venom,venom,ET00069122,81,82265,2.5,4.3,2018-10-26 15:45:00,"['Action', 'Sci-Fi']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/venom/ET00069122
namaste england,namaste-england,ET00069350,53,7463,1.4,2.9,2018-10-26 15:45:00,"['Comedy', 'Romance Comedy']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/namaste-england/ET00069350
first man,first-man,ET00072331,77,6599,3.9,3.9,2018-10-26 15:45:00,"['Biography', 'Drama', 'History']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/first-man/ET00072331
hotel transylvania 3 a monster vacation,hotel-transylvania-3-a-monster-vacation,ET00065290,76,13254,2.3,4.1,2018-10-26 15:45:00,"['Animation', 'Comedy']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/hotel-transylvania-3-a-monster-vacation/ET00065290
