IEFM,"INOX: EF3 Mall, Faridabad",,FARI,Faridabad,28.4075,77.3103,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
INDG,INOX: Gurgaon Dreamz,,GURG,Gurugram (Gurgaon),28.4728,77.0177,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
INFR,"INOX: Crown Interiorz Mall, Delhi Mathura Road",,FARI,Faridabad,28.4608,77.3068,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
INGN,"INOX: MSX Mall, Greater Noida",,GRET,Greater Noida,28.458,77.5281,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
IOMG,"INOX: Omaxe Connaught Place Mall, Greater Noida",,GRET,Greater Noida,28.4888,77.5145,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
ISMG,"INOX: Shipra Mall, Ghaziabad",,GHAZ,Ghaziabad,28.6342,77.3695,Y,SB,N,Y,N,AC,Y,false,false,false,2018-10-29 19:15:00
ISML,INOX: Gurgaon Sapphire 83,,GURG,Gurugram (Gurgaon),28.3925,76.9676,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
LBDL,Liberty Cinema: Karol Bagh,,DELHI,Delhi,28.6592,77.1897,Y,VS,N,N,N,AC,Y,false,false,false,2018-10-29 19:15:00
M2PP,M2K: Pitampura,,DELHI,Delhi,28.6895,77.1334,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
M2RH,M2K: Rohini,,DELHI,Delhi,28.7012,77.1168,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
MAKS,"Mukta A2 Cinemas: Parker Mall, Kundli",,KUND,Kundli,28.9068,77.1077,Y,SB,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
MCDE,Miraj Cinemas: Subhash Nagar,,DELHI,Delhi,28.6385,77.107,Y,VS,N,Y,Y,AC,Y,true,false,false,2018-10-29 19:15:00
MCGZ,Miraj Chaudhary Cinemas: Ghaziabad,,GHAZ,Ghaziabad,28.6551,77.4356,Y,VS,N,Y,N,AC,Y,true,false,false,2018-10-29 19:15:00
