ET00084854,dassehra,dassehra,62,146,2.0,3.3,2018-10-29 17:00:00,"['Action', 'Drama']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/dassehra/ET00084854
ET00021990,the house of dead horror combo 7d,the-house-of-dead-horror-combo-7d,59,1155,,3.0,2018-10-29 17:00:00,"['Adventure', 'Horror']",English (7D),https://in.bookmyshow.com/national-capital-region-ncr/movies/the-house-of-dead-horror-combo-7d/ET00021990
ET00019360,dinosaur adventure combo 7d,dinosaur-adventure-combo-7d,62,1016,,3.1,2018-10-29 17:00:00,['Adventure'],English (7D),https://in.bookmyshow.com/national-capital-region-ncr/movies/dinosaur-adventure-combo-7d/ET00019360
ET00058667,ratsasan,ratsasan,90,41512,3.3,4.7,2018-10-29 17:00:00,"['Drama', 'Thriller']",Tamil,https://in.bookmyshow.com/national-capital-region-ncr/movies/ratsasan/ET00058667
ET00078529,siberia,siberia,36,74,,1.8,2018-10-29 17:00:00,"['Crime-Thriller', 'Romance Comedy', 'Thriller']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/siberia/ET00078529
ET00021991,wild roller coaster combo 7d,wild-roller-coaster-combo-7d,65,638,,3.3,2018-10-29 17:00:00,['Adventure'],English (7D),https://in.bookmyshow.com/national-capital-region-ncr/movies/wild-roller-coaster-combo-7d/ET00021991
ET00085034,chal jaa bapu,chal-jaa-bapu,71,21,,4.0,2018-10-29 17:00:00,"['Comedy', 'Drama']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/chal-jaa-bapu/ET00085034
ET00084587,genius tamil,genius-tamil,67,342,,3.4,2018-10-29 17:00:00,['Drama'],Tamil,https://in.bookmyshow.com/national-capital-region-ncr/movies/genius-tamil/ET00084587
ET00004000,avatar 3d,avatar-3d,90,3518,4.3,4.6,2018-10-29 17:00:00,"['Action', 'Adventure', 'Thriller']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/avatar-3d/ET00004000
ET00008457,titanic 3d,titanic-3d,91,3185,3.9,4.7,2018-10-29 17:00:00,"['Drama', 'Romance Comedy']",English,https://in.bookmyshow.com/national-capital-region-ncr/movies/titanic-3d/ET00008457
ET00087305,baazaar exclusively for women,baazaar-exclusively-for-women,72,18,2.2,4.3,2018-10-29 17:00:00,"['Crime', 'Drama', 'Thriller']",Hindi,https://in.bookmyshow.com/national-capital-region-ncr/movies/baazaar-exclusively-for-women/ET00087305
ET00020493,oculus,oculus,68,64,3.3,3.9,2018-10-29 17:00:00,['Horror'],English,https://in.bookmyshow.com/national-capital-region-ncr/movies/oculus/ET00020493
ET00083756,preethi keli sneha kaledukollabedi,preethi-keli-sneha-kaledukollabedi,,,,,2018-10-29 17:00:00,['Romance'],Kannada,https://in.bookmyshow.com/national-capital-region-ncr/movies/preethi-keli-sneha-kaledukollabedi/ET00083756
ET00087168,ammachi yemba nenapu,ammachi-yemba-nenapu,,,,,2018-10-29 17:00:00,['Drama'],Kannada,https://in.bookmyshow.com/national-capital-region-ncr/movies/ammachi-yemba-nenapu/ET00087168
ET00086936,gvana yajna,gvana-yajna,,,,,2018-10-29 17:00:00,['Drama'],Kannada,https://in.bookmyshow.com/national-capital-region-ncr/movies/gvana-yajna/ET00086936
ET00086115,victory 2,victory-2,,,,,2018-10-29 17:00:00,"['Comedy', 'Romance Comedy']",Kannada,https://in.bookmyshow.com/national-capital-region-ncr/movies/victory-2/ET00086115
ET00077872,drama malayalam,drama-malayalam,,,,,2018-10-29 17:00:00,"['Comedy', 'Drama']",Malayalam,https://in.bookmyshow.com/national-capital-region-ncr/movies/drama-malayalam/ET00077872
